text,category,priority
No water in hostel since morning,Water,Medium
Water leakage in bathroom near room 12,Water,Medium
Drinking water tank is empty,Water,Medium
Water tap broken in washroom,Water,Medium
Water supply is very dirty and smells bad,Water,Medium
Internet is not working in lab,Network,Medium
WiFi disconnecting frequently in hostel,Network,Medium
Campus wifi is too slow today,Network,Low
No network signal in classroom,Network,Low
Router not working in hostel block A,Network,Medium
Electricity gone in hostel block B,Electricity,Medium
Fan not working in room,Electricity,Low
Light flickering in corridor,Electricity,Low
Power cut since last night,Electricity,Medium
AC not working in computer lab,Electricity,Medium
Garbage not cleaned for 3 days,Cleanliness,Medium
Dustbin overflow near canteen,Cleanliness,Medium
Washroom is dirty and smells horrible,Cleanliness,Medium
Corridor cleaning not done,Cleanliness,Low
Mess area hygiene is very poor,Cleanliness,Medium
Mess food quality is very bad today,Mess,Low
Found insects in mess food,Mess,High
Mess food is stale and causing stomach pain,Mess,High
Water in mess is dirty,Mess,Medium
Mess staff behavior is rude,Mess,Low
Ragging happening in hostel at night,Safety,High
Some seniors threatened me today,Safety,High
Harassment issue in college campus,Safety,High
Physical fight happened near gate,Safety,High
Someone is stalking and following me,Safety,High
Teacher not coming to class regularly,Academics,Low
Lecture schedule is not followed,Academics,Low
Subject notes not provided by faculty,Academics,Low
Lab equipment not available for practical,Academics,Medium
Project mentor not responding properly,Academics,Low
Placement training sessions are not happening,Placements,Medium
Companies are not visiting for placements,Placements,Medium
Need guidance for internship opportunities,Placements,Low
Placement cell not sharing updates,Placements,Low
Resume review sessions not conducted,Placements,Low
Washroom door lock is broken,Infrastructure,Low
Classroom benches are broken,Infrastructure,Low
Lift not working in building,Infrastructure,Medium
Street lights not working in campus,Infrastructure,Medium
Parking area is unsafe and dark,Infrastructure,Medium
Fees portal not working properly,Fees,Medium
Fee payment failed but money deducted,Fees,High
Scholarship not credited yet,Fees,Medium
Exam form submission error in portal,Fees,Medium
Need fee receipt urgently,Fees,Low
Lost my ID card inside campus,Other,Low
Need help finding lost wallet,Other,Low
My phone got stolen in library,Safety,High
Unauthorized people entering hostel,Safety,High
Emergency medical help needed for student,Safety,High
"Ragging happening in hostel corridor at night",Safety,High

"A student is threatening me and abusing me",Safety,High

"Emergency! Student fainted in classroom need help",Safety,High

"My phone was stolen from library table",Safety,High

"Harassment issue near campus gate",Safety,High

"There was a physical fight in hostel block",Safety,High

"Someone attacked my friend and he is injured",Safety,High

"Unauthorized person entered girls hostel",Safety,High

"I feel unsafe due to stalking in campus",Safety,High

"Blood injury incident happened near canteen",Safety,High
"I lost my ID card please help me",Other,Low

"Need bonafide certificate urgently",Other,Low

"Library card renewal request",Other,Low

"Password reset required for student portal",Other,Low

"Need exam timetable PDF",Academics,Low

"Request for fee receipt download",Fees,Low

"Bus pass related query for students",Other,Low

"Need information about holiday list",Other,Low

"Requesting permission letter for internship",Placements,Low

"How to apply for scholarship form",Fees,Low
