text,emotion
The staff is extremely rude and does not listen to students,anger
I am very angry about the way this issue is handled,anger
This problem has been ignored again and again,anger
The management behavior is unacceptable,anger
I am furious that no action has been taken,anger
Teachers are shouting and behaving badly,anger
This is ridiculous and totally unprofessional,anger
I have complained multiple times and nothing changed,anger
The situation makes me very angry,anger
Such careless attitude is infuriating,anger

I feel very disappointed with the system,sadness
This issue has made me feel helpless,sadness
No one seems to care about student problems,sadness
I am tired of complaining without results,sadness
This situation is really depressing,sadness
I feel ignored by the authorities,sadness
It is sad to see such poor management,sadness
I have lost hope that this will be fixed,sadness
This problem keeps troubling me emotionally,sadness
The response from administration is disappointing,sadness

The washrooms are extremely dirty,disgust
Mess food quality is horrible,disgust
The hostel rooms smell very bad,disgust
Garbage is not cleaned properly,disgust
The kitchen area is very unhygienic,disgust
Water coming from taps is dirty,disgust
The toilets are in disgusting condition,disgust
The food served today was disgusting,disgust
The campus cleanliness is very poor,disgust
The smell in the mess is unbearable,disgust

There is a problem with wifi connection,neutral
Reporting an issue related to electricity,neutral
Complaint regarding classroom infrastructure,neutral
There is a water supply issue in my block,neutral
Submitting a complaint for maintenance,neutral
Issue noticed in the hostel room,neutral
Requesting support for network problem,neutral
Problem observed in campus area,neutral
Complaint related to fees payment,neutral
Reporting a general issue for review,neutral

I feel unsafe in the hostel at night,fear
There is ragging happening and I am scared,fear
I am afraid to attend classes due to threats,fear
Someone is following me on campus,fear
There is harassment and I fear for my safety,fear
The environment does not feel safe,fear
I am scared because no one is responding,fear
There was a fight nearby and I am frightened,fear
I feel threatened by senior students,fear
This situation is making me anxious and fearful,fear

The staff shouted at me in front of everyone,anger
I am extremely angry about this unfair treatment,anger
The authorities are rude and unprofessional,anger
This issue has been ignored despite multiple complaints,anger
I am furious that nothing has been fixed yet,anger
The response from management was very disrespectful,anger
Teachers behave very badly with students,anger
I was treated very unfairly during this incident,anger
This careless attitude makes me very angry,anger
The administration does not care at all,anger
I complained earlier but they completely ignored it,anger
This is totally unacceptable behavior from staff,anger
I feel angry because no action has been taken,anger
The way they handled this situation was horrible,anger
I am angry and disappointed with the authorities,anger

I feel very disappointed by the lack of response,sadness
This situation has made me feel helpless,sadness
I am tired of complaining again and again,sadness
No one seems to care about student problems,sadness
This issue has emotionally affected me,sadness
I feel ignored by the administration,sadness
It is sad to see such poor handling of issues,sadness
I have lost hope that this will ever be resolved,sadness
This problem makes me feel depressed,sadness
I feel very low because of this situation,sadness
The repeated negligence is very upsetting,sadness
I expected support but received none,sadness
This experience has left me feeling hopeless,sadness
I am mentally exhausted by this problem,sadness
The lack of action is really discouraging,sadness

I am scared to stay in the hostel at night,fear
I feel unsafe walking alone on campus,fear
There were threats made and I am afraid,fear
I am worried about my personal safety,fear
This situation makes me feel anxious and unsafe,fear
I am frightened by the recent incidents,fear
I fear something bad might happen,fear
There is a serious safety risk here,fear
I do not feel secure in this environment,fear
I am scared because no one is responding,fear

Issue reported regarding classroom projector,neutral
Request for maintenance in hostel room,neutral
Complaint submitted for network issue,neutral
Reporting electricity outage in block C,neutral
Issue noticed in laboratory equipment,neutral
Requesting support for fee payment issue,neutral
Complaint logged for water supply problem,neutral
Issue observed in common area,neutral
